,hl_f,ol_f,k_f,score
104,PReLU,sigmoid,Adamax,0.765416682
102,PReLU,sigmoid,Adam,0.757916689
101,PReLU,sigmoid,RMSprop,0.757083356
52,relu,sigmoid,Adam,0.756250024
54,relu,sigmoid,Adamax,0.755416691
69,relu,LeakyReLU,Adamax,0.755416691
119,PReLU,LeakyReLU,Adamax,0.754166663
109,PReLU,tanh,Adamax,0.746249974
26,tanh,sigmoid,RMSprop,0.741249979
64,relu,relu,Adamax,0.741249979
51,relu,sigmoid,RMSprop,0.738333344
89,LeakyReLU,relu,Adamax,0.734583318
74,relu,PReLU,Adamax,0.729583323
76,LeakyReLU,sigmoid,RMSprop,0.729166687
50,relu,sigmoid,SGD,0.728333354
77,LeakyReLU,sigmoid,Adam,0.725833356
79,LeakyReLU,sigmoid,Adamax,0.724583328
100,PReLU,sigmoid,SGD,0.724166691
25,tanh,sigmoid,SGD,0.723749995
98,LeakyReLU,PReLU,Adagrad,0.722500026
33,tanh,tanh,Adagrad,0.720833361
73,relu,PReLU,Adagrad,0.717916667
123,PReLU,PReLU,Adagrad,0.698750019
27,tanh,sigmoid,Adam,0.697083354
58,relu,tanh,Adagrad,0.697083354
75,LeakyReLU,sigmoid,SGD,0.697083354
113,PReLU,relu,Adagrad,0.692083359
29,tanh,sigmoid,Adamax,0.687083304
68,relu,LeakyReLU,Adagrad,0.685833335
108,PReLU,tanh,Adagrad,0.672083318
28,tanh,sigmoid,Adagrad,0.666666687
53,relu,sigmoid,Adagrad,0.65291667
83,LeakyReLU,tanh,Adagrad,0.649999976
78,LeakyReLU,sigmoid,Adagrad,0.640416682
103,PReLU,sigmoid,Adagrad,0.627083361
0,sigmoid,sigmoid,SGD,0.507499993
4,sigmoid,sigmoid,Adamax,0.507499993
6,sigmoid,tanh,RMSprop,0.507499993
7,sigmoid,tanh,Adam,0.507499993
9,sigmoid,tanh,Adamax,0.507499993
10,sigmoid,relu,SGD,0.507499993
13,sigmoid,relu,Adagrad,0.507499993
16,sigmoid,LeakyReLU,RMSprop,0.507499993
18,sigmoid,LeakyReLU,Adagrad,0.507499993
21,sigmoid,PReLU,RMSprop,0.507499993
22,sigmoid,PReLU,Adam,0.507499993
23,sigmoid,PReLU,Adagrad,0.507499993
30,tanh,tanh,SGD,0.507499993
31,tanh,tanh,RMSprop,0.507499993
32,tanh,tanh,Adam,0.507499993
35,tanh,relu,SGD,0.507499993
38,tanh,relu,Adagrad,0.507499993
47,tanh,PReLU,Adam,0.507499993
49,tanh,PReLU,Adamax,0.507499993
