,hl_f,ol_f,k_f
0,Sigmoid,Sigmoid,SGD
1,Sigmoid,Sigmoid,RMSprop
2,Sigmoid,Sigmoid,Adam
3,Sigmoid,Sigmoid,Adagrad
4,Sigmoid,Sigmoid,Adamax
5,Sigmoid,Tanh,SGD
6,Sigmoid,Tanh,RMSprop
7,Sigmoid,Tanh,Adam
8,Sigmoid,Tanh,Adagrad
9,Sigmoid,Tanh,Adamax
10,Sigmoid,ReLU,SGD
11,Sigmoid,ReLU,RMSprop
12,Sigmoid,ReLU,Adam
13,Sigmoid,ReLU,Adagrad
14,Sigmoid,ReLU,Adamax
15,Sigmoid,LeakyReLU,SGD
16,Sigmoid,LeakyReLU,RMSprop
17,Sigmoid,LeakyReLU,Adam
18,Sigmoid,LeakyReLU,Adagrad
19,Sigmoid,LeakyReLU,Adamax
20,Sigmoid,PReLU,SGD
21,Sigmoid,PReLU,RMSprop
22,Sigmoid,PReLU,Adam
23,Sigmoid,PReLU,Adagrad
24,Sigmoid,PReLU,Adamax
25,Sigmoid,SELU,SGD
26,Sigmoid,SELU,RMSprop
27,Sigmoid,SELU,Adam
28,Sigmoid,SELU,Adagrad
29,Sigmoid,SELU,Adamax
30,Tanh,Sigmoid,SGD
31,Tanh,Sigmoid,RMSprop
32,Tanh,Sigmoid,Adam
33,Tanh,Sigmoid,Adagrad
34,Tanh,Sigmoid,Adamax
35,Tanh,Tanh,SGD
36,Tanh,Tanh,RMSprop
37,Tanh,Tanh,Adam
38,Tanh,Tanh,Adagrad
39,Tanh,Tanh,Adamax
40,Tanh,ReLU,SGD
41,Tanh,ReLU,RMSprop
42,Tanh,ReLU,Adam
43,Tanh,ReLU,Adagrad
44,Tanh,ReLU,Adamax
45,Tanh,LeakyReLU,SGD
46,Tanh,LeakyReLU,RMSprop
47,Tanh,LeakyReLU,Adam
48,Tanh,LeakyReLU,Adagrad
49,Tanh,LeakyReLU,Adamax
50,Tanh,PReLU,SGD
51,Tanh,PReLU,RMSprop
52,Tanh,PReLU,Adam
53,Tanh,PReLU,Adagrad
54,Tanh,PReLU,Adamax
55,Tanh,SELU,SGD
56,Tanh,SELU,RMSprop
57,Tanh,SELU,Adam
58,Tanh,SELU,Adagrad
59,Tanh,SELU,Adamax
60,ReLU,Sigmoid,SGD
61,ReLU,Sigmoid,RMSprop
62,ReLU,Sigmoid,Adam
63,ReLU,Sigmoid,Adagrad
64,ReLU,Sigmoid,Adamax
65,ReLU,Tanh,SGD
66,ReLU,Tanh,RMSprop
67,ReLU,Tanh,Adam
68,ReLU,Tanh,Adagrad
69,ReLU,Tanh,Adamax
70,ReLU,ReLU,SGD
71,ReLU,ReLU,RMSprop
72,ReLU,ReLU,Adam
73,ReLU,ReLU,Adagrad
74,ReLU,ReLU,Adamax
75,ReLU,LeakyReLU,SGD
76,ReLU,LeakyReLU,RMSprop
77,ReLU,LeakyReLU,Adam
78,ReLU,LeakyReLU,Adagrad
79,ReLU,LeakyReLU,Adamax
80,ReLU,PReLU,SGD
81,ReLU,PReLU,RMSprop
82,ReLU,PReLU,Adam
83,ReLU,PReLU,Adagrad
84,ReLU,PReLU,Adamax
85,ReLU,SELU,SGD
86,ReLU,SELU,RMSprop
87,ReLU,SELU,Adam
88,ReLU,SELU,Adagrad
89,ReLU,SELU,Adamax
90,LeakyReLU,Sigmoid,SGD
91,LeakyReLU,Sigmoid,RMSprop
92,LeakyReLU,Sigmoid,Adam
93,LeakyReLU,Sigmoid,Adagrad
94,LeakyReLU,Sigmoid,Adamax
95,LeakyReLU,Tanh,SGD
96,LeakyReLU,Tanh,RMSprop
97,LeakyReLU,Tanh,Adam
98,LeakyReLU,Tanh,Adagrad
99,LeakyReLU,Tanh,Adamax
100,LeakyReLU,ReLU,SGD
101,LeakyReLU,ReLU,RMSprop
102,LeakyReLU,ReLU,Adam
103,LeakyReLU,ReLU,Adagrad
104,LeakyReLU,ReLU,Adamax
105,LeakyReLU,LeakyReLU,SGD
106,LeakyReLU,LeakyReLU,RMSprop
107,LeakyReLU,LeakyReLU,Adam
108,LeakyReLU,LeakyReLU,Adagrad
109,LeakyReLU,LeakyReLU,Adamax
110,LeakyReLU,PReLU,SGD
111,LeakyReLU,PReLU,RMSprop
112,LeakyReLU,PReLU,Adam
113,LeakyReLU,PReLU,Adagrad
114,LeakyReLU,PReLU,Adamax
115,LeakyReLU,SELU,SGD
116,LeakyReLU,SELU,RMSprop
117,LeakyReLU,SELU,Adam
118,LeakyReLU,SELU,Adagrad
119,LeakyReLU,SELU,Adamax
120,PReLU,Sigmoid,SGD
121,PReLU,Sigmoid,RMSprop
122,PReLU,Sigmoid,Adam
123,PReLU,Sigmoid,Adagrad
124,PReLU,Sigmoid,Adamax
125,PReLU,Tanh,SGD
126,PReLU,Tanh,RMSprop
127,PReLU,Tanh,Adam
128,PReLU,Tanh,Adagrad
129,PReLU,Tanh,Adamax
130,PReLU,ReLU,SGD
131,PReLU,ReLU,RMSprop
132,PReLU,ReLU,Adam
133,PReLU,ReLU,Adagrad
134,PReLU,ReLU,Adamax
135,PReLU,LeakyReLU,SGD
136,PReLU,LeakyReLU,RMSprop
137,PReLU,LeakyReLU,Adam
138,PReLU,LeakyReLU,Adagrad
139,PReLU,LeakyReLU,Adamax
140,PReLU,PReLU,SGD
141,PReLU,PReLU,RMSprop
142,PReLU,PReLU,Adam
143,PReLU,PReLU,Adagrad
144,PReLU,PReLU,Adamax
145,PReLU,SELU,SGD
146,PReLU,SELU,RMSprop
147,PReLU,SELU,Adam
148,PReLU,SELU,Adagrad
149,PReLU,SELU,Adamax
150,SELU,Sigmoid,SGD
151,SELU,Sigmoid,RMSprop
152,SELU,Sigmoid,Adam
153,SELU,Sigmoid,Adagrad
154,SELU,Sigmoid,Adamax
155,SELU,Tanh,SGD
156,SELU,Tanh,RMSprop
157,SELU,Tanh,Adam
